"","TCRScore","AllProbes","AlphaProbes","BetaProbes"
"12590.RCC",3.24324882961061,95,41,42
"12591_51.RCC",3.21629590577035,94,41,42
"12645_21.RCC",3.2294857106871,92,41,40
"12650.RCC",3.48741835001962,97,42,43
"12672.RCC",3.21227346788142,95,42,41
"12688_41.RCC",3.26881136997432,95,40,43
"12693_21.RCC",3.16230906033761,96,42,42
"12694_21.RCC",3.26706761504737,89,39,40
"12700_21.RCC",3.32530149406965,91,40,41
"12707_31.RCC",3.35197084578582,95,41,42
"12708 _51.RCC",3.35725452682796,90,40,39
"12709_21.RCC",3.28515249990902,89,39,40
"12721.RCC",3.38279344297957,93,40,41
"12726_21.RCC",3.34210099956928,87,38,38
"12727.RCC",3.32866417020272,92,40,41
"12733.RCC",3.29580164181845,94,41,41
"12736.RCC",3.34215045884526,94,41,42
"12745.RCC",3.27339817943293,95,40,43
"12751_41.RCC",3.39337507035462,94,39,42
"12756_51.RCC",3.32352342209229,87,39,38
"12766.RCC",3.45138825085093,96,42,42
"12772_31.RCC",3.02100214346033,95,41,42
"12774.RCC",3.32528861838703,96,42,42
"12781.RCC",3.28688555534553,92,39,41
"12786_21.RCC",3.37600211696958,94,41,41
"12792_21.RCC",3.17786330508522,88,40,39
"12812_31.RCC",3.35335761148904,93,40,42
"12830_31.RCC",3.26369301475561,92,41,39
"12862_21.RCC",3.4562253479834,95,41,42
"12889_31.RCC",3.46045156063565,95,42,40
"12896_52.RCC",3.32311360105166,87,37,39
"12900.RCC",3.32033671535285,94,40,42
"12907.RCC",3.31606936394492,77,37,32
"12915_21.RCC",3.24705268454772,92,41,40
"12917_51.RCC",3.21236961596075,93,40,42
"12929.RCC",3.28322860949262,93,40,42
"12954_21.RCC",3.30785253138514,92,39,42
"12955_21.RCC",3.34214873185388,100,44,43
"12966.RCC",3.35131148727127,91,39,40
"12967.RCC",3.40765642603374,91,40,41
"12968.RCC",3.375062261474,95,42,42
"12981_41.RCC",3.33262163164644,93,41,40
"12983_21.RCC",3.12556529125167,91,41,38
"12990_41.RCC",3.30689231482476,93,42,40
"13020_21.RCC",3.26342768635169,91,40,40
"13022_21.RCC",3.43621795497306,94,42,40
"13027_21.RCC",3.16669229755576,92,39,41
"13032.RCC",3.26794498358152,92,39,41
"13041_31.RCC",3.36741409764274,91,39,41
"13049_21.RCC",3.43781634473595,91,40,41
"13060.RCC",3.35577090908637,93,42,40
"13068.RCC",3.29025994830672,99,42,44
"13069.RCC",3.2902152741125,90,38,42
"13089.RCC",3.45402227582439,92,40,42
"13092.RCC",3.24712249820048,94,41,41
"13107_21.RCC",3.33884013131588,81,38,34
"13118_42.RCC",3.34565136736869,92,39,42
"13119_41.RCC",3.33417175856234,93,40,41
"13130_31.RCC",3.38603314581234,93,40,41
"13146.RCC",3.43899012967007,97,41,43
"13147.RCC",3.37420921224988,86,38,38
"13154_31.RCC",3.54282200085604,94,40,41
"13155_42.RCC",3.79201155467597,87,37,38
"13158.RCC",3.34323208397073,58,24,26
"13168.RCC",3.31954727751489,95,41,42
"13172_21.RCC",3.36925429310917,73,35,29
"13173_21.RCC",3.25302519071893,36,12,15
"13178_52.RCC",3.43048959012694,79,36,33
"13184_32.RCC",3.30429841632181,91,39,41
"13186.RCC",3.45408809060157,94,41,41
"13194.RCC",3.22129285014621,77,34,33
"13225.RCC",3.28079227732172,83,38,35
"13226.RCC",3.44953532251328,82,37,35
"13231_21.RCC",3.34432229470469,62,31,26
"13245.RCC",3.22637644879296,87,37,39
"13261_52.RCC",3.20396389669798,57,28,22
"13262_21.RCC",3.25541260066185,80,36,34
"13265 _21.RCC",3.28821964197187,93,39,42
"13278_32.RCC",3.18393716604549,66,28,28
"13280_21.RCC",3.25731187716223,83,37,36
"13308.RCC",3.40393461543845,75,37,28
"13310_21.RCC",3.34358471177018,87,37,39
"13312_53.RCC",3.28166489378162,79,36,34
"13317_22.RCC",3.39134548723352,81,38,34
"13333_21.RCC",3.25913382212341,88,40,38
"13341_21.RCC",3.39033205140531,101,45,43
"13343.RCC",3.4073140380683,92,40,41
"13348_22.RCC",3.29661682377746,93,40,41
"13359_52.RCC",3.36183369681854,93,40,41
"13362_21.RCC",3.33355949008102,90,39,40
"13372_32.RCC",3.38138459387446,95,42,41
"13376_21.RCC",3.3596486355522,90,40,39
"13387.RCC",3.40309494506011,90,40,40
"13392.RCC",3.31693314707755,95,41,41
"13399.RCC",3.37349879412063,86,38,38
"13414_31.RCC",3.35021136092779,90,40,40
"13424_22.RCC",3.23471379775463,92,39,42
"13426_21.RCC",3.29988121457916,90,39,39
"13444_21.RCC",3.71779348120798,78,35,34
"13449.RCC",3.3218978357802,94,40,42
"13460_21.RCC",3.22687141220107,94,41,41
"13463_22.RCC",3.23867971899921,93,40,42
"13472_21.RCC",3.38910373641749,95,41,42
"13479_21.RCC",3.35415595424209,86,38,38
"13495_22.RCC",3.50961830151076,88,37,38
"13497.RCC",3.20392740163134,90,38,40
"13505_31.RCC",3.41167084543662,89,39,39
"13534_42.RCC",3.45807665594476,91,40,39
"13544.RCC",3.22520943506831,76,36,30
"13557.RCC",3.38853285722114,93,41,40
"13559.RCC",3.3564355938681,92,41,40
"13570.RCC",3.36255098236777,86,39,36
"13588.RCC",3.45362487874429,88,38,39
"13589.RCC",3.41580574608818,92,40,40
"13594.RCC",3.36436949952576,90,40,39
"13601.RCC",3.43758698885926,91,40,39
"13604_32.RCC",3.35930342886036,84,38,35
"13608.RCC",3.34674076986604,90,39,41
"13643_22.RCC",3.27237005775958,61,30,24
"13645.RCC",3.45276926108884,83,38,35
"13648_32.RCC",3.35880561790805,87,37,39
"13667_53.RCC",3.23551468164874,90,38,41
"13673.RCC",3.28627505701619,93,40,41
"13675_41.RCC",3.26286636658888,87,37,38
"13685_22.RCC",3.38068976082076,91,39,40
"13692_21.RCC",3.34520048466058,89,39,39
"13693.RCC",3.35554655959844,95,41,42
"13697_53.RCC",3.42558096779411,91,39,40
"13698_42.RCC",3.4042042706168,92,41,40
"13700.RCC",3.36916779380827,95,41,42
"13701.RCC",3.33779180429589,92,40,41
"13713_33.RCC",3.08773028131885,94,40,42
"13716.RCC",3.37185594088087,94,40,42
"13720.RCC",3.35228154948457,78,34,33
"13721.RCC",3.3512265109581,88,39,39
"13724.RCC",3.33550372499835,92,40,41
"13738_43.RCC",3.29907738920336,89,38,40
"13739_42.RCC",3.3009480143281,85,38,36
"13748_22.RCC",3.35270136083394,84,39,34
"13754.RCC",3.33852300198445,83,37,37
"13755.RCC",3.27327968803503,81,38,33
"13775.RCC",3.28464877042563,84,38,36
"13777.RCC",3.39435409773494,92,41,41
"13784_22.RCC",3.35443519602515,87,38,39
"13785_22.RCC",3.28099063513862,83,37,36
"13788.RCC",3.32103695328654,90,39,40
"13795_21.RCC",3.30094426511974,93,40,42
"13808.RCC",3.36859563859607,90,39,41
"13816.RCC",3.31801475730289,88,39,38
"13830_21.RCC",3.30377555408153,93,40,42
"13838_22.RCC",3.27481070470293,92,41,39
"13847_22.RCC",3.27191500770659,97,42,43
"13872_22.RCC",3.44200083682748,99,43,44
"13884_22.RCC",3.29564251342678,96,42,42
"13885_22.RCC",3.3759017648884,93,41,41
"13890_22.RCC",3.43397662105122,92,41,42
"13893_32.RCC",3.42227502831867,96,41,42
"13901_32.RCC",3.32468686112262,94,41,41
"13902_21.RCC",3.34277321792859,95,42,42
"13908_21.RCC",3.3985993553558,96,41,42
"13911_22.RCC",3.4192206075842,91,40,39
"13914_22.RCC",3.21581616162995,94,42,41
"13929.RCC",3.31996319680257,90,40,39
"13934.RCC",3.26015988246376,94,40,42
"13935_32.RCC",3.34779684820724,93,42,41
"13950.RCC",3.35577417624401,97,42,43
"13955_53.RCC",3.35132304708851,97,42,43
"13956_21.RCC",3.4127468846002,96,41,42
"13957_31.RCC",3.31320264223173,92,40,41
"13959_22.RCC",3.30494529667725,91,39,40
"13962_22.RCC",3.3497931210983,95,41,41
"13967_32.RCC",3.28791243561201,92,41,41
"13968_21.RCC",3.28926046058023,88,40,38
"13972_22.RCC",3.35612703795629,86,39,37
"13974_21.RCC",3.3912098592094,88,39,39
"13975.RCC",3.33397373787122,84,37,37
"13977_43.RCC",3.37566379365026,88,40,38
"13981_43.RCC",3.33075740257756,83,39,34
"13985.RCC",3.26403714959337,94,41,41
"13988_22.RCC",3.30680408037314,95,41,42
"13994.RCC",3.38888966457621,97,42,43
