From	To	Species	Gene Name
KLRC4	ENSG00000255819	Homo sapiens	killer cell lectin like receptor C4(KLRC4)
KLRC4	ENSG00000183542	Homo sapiens	killer cell lectin like receptor C4(KLRC4)
CTHRC1	ENSG00000164932	Homo sapiens	collagen triple helix repeat containing 1(CTHRC1)
KLRC2	ENSG00000205809	Homo sapiens	killer cell lectin like receptor C2(KLRC2)
KLRC3	ENSG00000205810	Homo sapiens	killer cell lectin like receptor C3(KLRC3)
AIF1	ENSG00000204472	Homo sapiens	allograft inflammatory factor 1(AIF1)
CRHBP	ENSG00000145708	Homo sapiens	corticotropin releasing hormone binding protein(CRHBP)
RORC	ENSG00000143365	Homo sapiens	RAR related orphan receptor C(RORC)
SERPINE1	ENSG00000106366	Homo sapiens	serpin family E member 1(SERPINE1)
CCR10	ENSG00000184451	Homo sapiens	C-C motif chemokine receptor 10(CCR10)
IGLL1	ENSG00000128322	Homo sapiens	immunoglobulin lambda like polypeptide 1(IGLL1)
VNN1	ENSG00000112299	Homo sapiens	vanin 1(VNN1)
RAB27B	ENSG00000041353	Homo sapiens	RAB27B, member RAS oncogene family(RAB27B)
KLRD1	ENSG00000134539	Homo sapiens	killer cell lectin like receptor D1(KLRD1)
ZNF391	ENSG00000124613	Homo sapiens	zinc finger protein 391(ZNF391)
VNN2	ENSG00000112303	Homo sapiens	vanin 2(VNN2)
VNN3	ENSG00000093134	Homo sapiens	vanin 3(VNN3)
CDH23	ENSG00000107736	Homo sapiens	cadherin related 23(CDH23)
KLRB1	ENSG00000111796	Homo sapiens	killer cell lectin like receptor B1(KLRB1)
LRRC4	ENSG00000128594	Homo sapiens	leucine rich repeat containing 4(LRRC4)
CRTAM	ENSG00000109943	Homo sapiens	cytotoxic and regulatory T-cell molecule(CRTAM)
OLFML2B	ENSG00000162745	Homo sapiens	olfactomedin like 2B(OLFML2B)
TMIE	ENSG00000181585	Homo sapiens	transmembrane inner ear(TMIE)
KIF5C	ENSG00000168280	Homo sapiens	kinesin family member 5C(KIF5C)
LIFR	ENSG00000113594	Homo sapiens	leukemia inhibitory factor receptor alpha(LIFR)
EOMES	ENSG00000163508	Homo sapiens	eomesodermin(EOMES)
USHBP1	ENSG00000130307	Homo sapiens	USH1 protein network component harmonin binding protein 1(USHBP1)
SERPING1	ENSG00000149131	Homo sapiens	serpin family G member 1(SERPING1)
MECOM	ENSG00000085276	Homo sapiens	MDS1 and EVI1 complex locus(MECOM)
HLA-DQA1	ENSG00000196735	Homo sapiens	major histocompatibility complex, class II, DQ alpha 1(HLA-DQA1)
THY1	ENSG00000154096	Homo sapiens	Thy-1 cell surface antigen(THY1)
SSTR3	ENSG00000278195	Homo sapiens	somatostatin receptor 3(SSTR3)
SERPINF1	ENSG00000132386	Homo sapiens	serpin family F member 1(SERPINF1)
PTRF	ENSG00000177469	Homo sapiens	polymerase I and transcript release factor(PTRF)
MGAM	ENSG00000257335	Homo sapiens	maltase-glucoamylase(MGAM)
RYR1	ENSG00000196218	Homo sapiens	ryanodine receptor 1(RYR1)
TFPI	ENSG00000003436	Homo sapiens	tissue factor pathway inhibitor(TFPI)
HSD11B1	ENSG00000117594	Homo sapiens	hydroxysteroid 11-beta dehydrogenase 1(HSD11B1)
ROR2	ENSG00000169071	Homo sapiens	receptor tyrosine kinase like orphan receptor 2(ROR2)
UNC13C	ENSG00000137766	Homo sapiens	unc-13 homolog C(UNC13C)
KLRC1	ENSG00000134545	Homo sapiens	killer cell lectin like receptor C1(KLRC1)
HLA-DRA	ENSG00000204287	Homo sapiens	major histocompatibility complex, class II, DR alpha(HLA-DRA)
CYP1B1	ENSG00000138061	Homo sapiens	cytochrome P450 family 1 subfamily B member 1(CYP1B1)
CACNB2	ENSG00000165995	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
ARG1	ENSG00000118520	Homo sapiens	arginase 1(ARG1)
IL17A	ENSG00000112115	Homo sapiens	interleukin 17A(IL17A)
ZAP70	ENSG00000115085	Homo sapiens	zeta chain of T cell receptor associated protein kinase 70(ZAP70)
UBASH3A	ENSG00000160185	Homo sapiens	ubiquitin associated and SH3 domain containing A(UBASH3A)
KLRF1	ENSG00000150045	Homo sapiens	killer cell lectin like receptor F1(KLRF1)
PPP2R2B	ENSG00000156475	Homo sapiens	protein phosphatase 2 regulatory subunit Bbeta(PPP2R2B)
HLA-DOB	ENSG00000241106	Homo sapiens	major histocompatibility complex, class II, DO beta(HLA-DOB)
SPP1	ENSG00000118785	Homo sapiens	secreted phosphoprotein 1(SPP1)
CYP46A1	ENSG00000036530	Homo sapiens	cytochrome P450 family 46 subfamily A member 1(CYP46A1)
ACER1	ENSG00000167769	Homo sapiens	alkaline ceramidase 1(ACER1)
KIR2DS4	ENSG00000221957	Homo sapiens	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
UPK3A	ENSG00000100373	Homo sapiens	uroplakin 3A(UPK3A)
GUCY2D	ENSG00000132518	Homo sapiens	guanylate cyclase 2D, retinal(GUCY2D)
RGS1	ENSG00000090104	Homo sapiens	regulator of G-protein signaling 1(RGS1)
TREML2	ENSG00000112195	Homo sapiens	triggering receptor expressed on myeloid cells like 2(TREML2)
CYP2J2	ENSG00000134716	Homo sapiens	cytochrome P450 family 2 subfamily J member 2(CYP2J2)
BACH2	ENSG00000112182	Homo sapiens	BTB domain and CNC homolog 2(BACH2)
CACHD1	ENSG00000158966	Homo sapiens	cache domain containing 1(CACHD1)
GRIP1	ENSG00000155974	Homo sapiens	glutamate receptor interacting protein 1(GRIP1)
LY9	ENSG00000122224	Homo sapiens	lymphocyte antigen 9(LY9)
MMP28	ENSG00000271447	Homo sapiens	matrix metallopeptidase 28(MMP28)
MMP25	ENSG00000008516	Homo sapiens	matrix metallopeptidase 25(MMP25)
TYR	ENSG00000077498	Homo sapiens	tyrosinase(TYR)
SRPX	ENSG00000101955	Homo sapiens	sushi repeat containing protein, X-linked(SRPX)
TMEM108	ENSG00000144868	Homo sapiens	transmembrane protein 108(TMEM108)
NMUR1	ENSG00000171596	Homo sapiens	neuromedin U receptor 1(NMUR1)
CEACAM8	ENSG00000124469	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 8(CEACAM8)
SPIB	ENSG00000269404	Homo sapiens	Spi-B transcription factor(SPIB)
BHLHE41	ENSG00000123095	Homo sapiens	basic helix-loop-helix family member e41(BHLHE41)
CEACAM3	ENSG00000170956	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 3(CEACAM3)
FGF2	ENSG00000138685	Homo sapiens	fibroblast growth factor 2(FGF2)
PRSS35	ENSG00000146250	Homo sapiens	protease, serine 35(PRSS35)
DPEP1	ENSG00000015413	Homo sapiens	dipeptidase 1 (renal)(DPEP1)
CEACAM1	ENSG00000079385	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 1(CEACAM1)
DPEP2	ENSG00000167261	Homo sapiens	dipeptidase 2(DPEP2)
EGFL7	ENSG00000172889	Homo sapiens	EGF like domain multiple 7(EGFL7)
ELANE	ENSG00000197561	Homo sapiens	elastase, neutrophil expressed(ELANE)
LYZ	ENSG00000090382	Homo sapiens	lysozyme(LYZ)
MMP17	ENSG00000198598	Homo sapiens	matrix metallopeptidase 17(MMP17)
CLIC2	ENSG00000155962	Homo sapiens	chloride intracellular channel 2(CLIC2)
ARHGEF15	ENSG00000198844	Homo sapiens	Rho guanine nucleotide exchange factor 15(ARHGEF15)
MMP12	ENSG00000262406	Homo sapiens	matrix metallopeptidase 12(MMP12)
ST6GALNAC1	ENSG00000070526	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1(ST6GALNAC1)
C8G	ENSG00000176919	Homo sapiens	complement C8 gamma chain(C8G)
INHBA	ENSG00000122641	Homo sapiens	inhibin beta A subunit(INHBA)
C8B	ENSG00000021852	Homo sapiens	complement C8 beta chain(C8B)
ALOX15	ENSG00000161905	Homo sapiens	arachidonate 15-lipoxygenase(ALOX15)
KLRG1	ENSG00000139187	Homo sapiens	killer cell lectin like receptor G1(KLRG1)
EREG	ENSG00000124882	Homo sapiens	epiregulin(EREG)
ZNF135	ENSG00000176293	Homo sapiens	zinc finger protein 135(ZNF135)
PLXDC1	ENSG00000161381	Homo sapiens	plexin domain containing 1(PLXDC1)
CPXM1	ENSG00000088882	Homo sapiens	carboxypeptidase X, M14 family member 1(CPXM1)
DOK7	ENSG00000175920	Homo sapiens	docking protein 7(DOK7)
SERPINB2	ENSG00000197632	Homo sapiens	serpin family B member 2(SERPINB2)
