"","TRBC1/2_ENST00000466254.1","TRAV25_TCRVA_033.1","TRBV11-1_TCRVB_029.1","TRGV2_ENST00000426402.1","TRAV2_TCRVA_003.1","TRAV1-2_TCRVA_002.1","TRBV6-5_TCRVB_014.1","TRAV9-1_TCRVA_014.1","TRBV6-8_TCRVB_016.1","TRBV11-3_TCRVB_031.1","TRAV39_TCRVA_044.1","TRAV41_TCRVA_046.1","TRBV11-2_TCRVB_030.1","TRBV7-8_TCRVB_023.1","TRAC_ENST00000611116.1","TRAV4_TCRVA_005.1","TRAV20_TCRVA_028.1","TRAV26-1_TCRVA_034.1","TRBV12-5_TCRVB_034.1","TRAV40_TCRVA_045.1","TRBV25-1_TCRVB_043.1","TRAV7_TCRVA_008.1","TRGV9_ENST00000444775.1","TRAV18_TCRVA_026.1","TRBV5-6_TCRVB_009.1","TRBV4-3_TCRVB_005.1","TRAV13-1_TCRVA_021.1","TRAV17_TCRVA_025.1","TRGC1_ENST00000443402.1","TRAV3_TCRVA_004.1","TRBV29-1_TCRVB_046.1","TRAV1-1_TCRVA_001.1","TRBV16_TCRVB_038.1","TRBV7-2_TCRVB_018.1","TRAV19_TCRVA_027.1","TRAV38-1_TCRVA_042.1","TRAV35_TCRVA_040.1","TRBV4-1_TCRVB_003.1","TRAV26-2_TCRVA_035.1","TRAV5_TCRVA_006.1","TRAV13-2_TCRVA_022.1","TRBV10-3_TCRVB_028.1","TRDV1_ENST00000390452.1","TRAV8-2_TCRVA_010.1","TRAV29_TCRVA_037.1","TRBV10-1_ENST00000390364.1","TRBV15_TCRVB_037.1","TRBV5-8_TCRVB_010.1","TRAV8-1_TCRVA_009.1","TRDC_ENST00000390477.1","TRAV12-2_TCRVA_019.1","TRAV12-3_TCRVA_020.1","TRAV36_TCRVA_041.1","TRAV30_TCRVA_038.1","TRAV12-1_TCRVA_018.1","TRDV2_ENST00000390469.1","TRBV7-3_TCRVB_019.1","TRAV23_TCRVA_031.1","TRBV5-4_TCRVB_007.1","TRBV19_TCRVB_040.1","TRDV3_ENST00000535880.1","TRBV6-4_TCRVB_013.1","TRBV2_TCRVB_001.1","TRGV4_ENST00000390345.1","TRBV7-7_TCRVB_022.1","TRGV3/5_ENST00000390346.1","TRBV5-5_TCRVB_008.1","TRBV12-3_TCRVB_032.1","TRAV11_TCRVA_017.1","TRBV7-9_TCRVB_024.1","TRBV28_TCRVB_045.1","TRBV24-1_TCRVB_042.1","TRBV6-2_TCRVB_012.1","TRBV14_TCRVB_036.1","TRBV13_TCRVB_035.1","TRAV8-6_TCRVA_013.1","TRGV8_ENST00000390343.1","TRAV14_TCRVA_023.1","TRAV27_TCRVA_036.1","TRAV9-2_TCRVA_015.1","TRBV20-1_TCRVB_041.1","TRAV34_TCRVA_039.1","TRBV7-6_TCRVB_021.1","TRAV10_TCRVA_016.1","TRAV22_TCRVA_030.1","TRBV5-1_TCRVB_006.1","TRBV30_TCRVB_047.1","TRAV24_TCRVA_032.1","TRBV4-2_TCRVB_004.1","TRBV27_TCRVB_044.1","TRBV6-6_ENST00000390371.1","TRBV9_TCRVB_025.1","TRBV6-9_TCRVB_017.1","TRBV18_TCRVB_039.1","TRBV7-4_TCRVB_020.1","TRAV38-2_TCRVA_043.1","TRBV3-1_TCRVB_002.1","TRAV21_TCRVA_029.1","TRAV16_TCRVA_024.1","TRGC2_ENST00000436911.1","TRAV6_TCRVA_007.1","TRAV8-3_TCRVA_011.1","TRBV10-2_TCRVB_027.1","TRBV6-1_TCRVB_011.1"
"X12590",3.11970745833203,-3.37079728317651,-2.26481985473456,-2.04526078879333,-2.06906568690268,-2.9490160712812,-1.90661810622422,-6.87723901617011,-7.380533216075,-6.02149714610952,-4.84893241726593,-2.80241324058735,-2.52389915251546,-2.37497801001133,1.98799414673985,-3.6491193716834,-3.95647860477764,-2.2775494949704,-5.48232245859155,-5.54799617436721,-4.70432384964693,-7.12548144678511,-5.44336863068041,-6.00531264884872,-3.64385618977472,-3.10123349980322,-1.75502141361675,-1.77188838368053,-1.76237517450321,-3.00242184888314,-1.45874116873616,-5.48321863526861,-7.13739566273229,-2.03672597487379,-2.56251278851066,-2.6274797085783,-3.58201521667082,-3.64767284554802,-3.61349268801425,-4.163723662274,-2.87868503579316,-2.756147167869,-3.56898257045808,-1.69884077020721,-3.06718366139727,-5.46669961910134,-4.33390073655344,-5.92643078200416,-4.02403150151675,0.895543377184442,-2.49603618497311,-2.35794554919099,-3.89645514294221,-4.46610768349312,-1.63710611968454,-3.9128398619397,-3.72370492110445,-3.36507258658788,-4.37034144506822,-1.13496326485427,-4.63783240214696,-5.58370961741107,-0.179409250785702,-5.70929063572336,-5.94062145292107,-1.42200144702861,-4.13112750265228,-1.91682090144368,-6.47248777146274,-2.1185049101175,-1.20350306975767,-3.41615131799566,-2.74671357071777,-3.75388528257409,-4.0294237603399,-3.61191515354335,-2.48817743818628,-2.32144950969774,-3.7921418281111,-3.50817508103267,-1.39590546303029,-5.70930477639585,-3.35584285261047,-4.15897885605652,-4.95686846347696,-3.53362412013646,-3.04635563569174,-4.63646350657387,-4.00436722548688,-2.32192809488736,-2.76736707270676,-2.32290475861025,-2.66803600226985,-2.19598079050565,-5.33539035469393,-2.93900670870226,-2.55408555669926,-2.34875538748118,-3.37861553013129,-0.344021195746791,-3.12072444703462,-2.96087701248885,-5.1225831827327,-3.1037954123723
"X12591_51",2.74365470387172,-3.42012499554008,-6.29540817456799,-2.83635982009302,-3.56233438884522,-3.43023064716452,-2.44236451741306,-7.50527023878315,-6.89510638890476,-6.30160506530225,-4.83316510140762,-3.72037747172134,-2.2428790012083,-2.64927153325981,1.34132530216534,-3.81173957250248,-4.01980454014647,-3.40466141287374,-5.84489253797626,-6.26788825517447,-4.78757935329628,-6.78844645950754,-5.72877084954266,-6.26834705468252,-3.68757756720404,-3.0702066041826,-2.25315929253655,-2.59030217873197,-2.60977604922118,-3.35175610111115,-2.51027146937624,-5.0092874469362,-6.6304356740124,-2.15032100671575,-3.28124914143357,-3.40917424476509,-4.38937013872842,-3.29362054760501,-4.94739342456769,-4.56468597634112,-3.10503547069829,-3.42878518693101,-3.98955825327835,-1.57081138146657,-3.45157584323129,-6.82926969848605,-3.77590528343255,-6.47897180503294,-4.77610398807316,1.12846021312253,-2.86190762744807,-3.43415611581111,-4.16339400323192,-4.65455277290623,-2.42772275890996,-4.80933528618584,-4.44097471392974,-3.202801157689,-4.85576827223846,-1.83370624900456,-6.00040248153166,-5.26178152252371,-1.94073405058031,-5.82958486944107,-5.25096157353322,-1.97474932288459,-3.73778507447275,-1.92007387923877,-7.20945336562895,-2.33032808974376,-1.5746586794157,-3.77559020778252,-2.74671357071777,-3.56011353917741,-3.69172834959422,-3.35615398262173,-2.70781924850669,-3.04966906139913,-3.83307209216598,-3.51395743362668,-1.58143835841087,-5.78525362962915,-3.47248777146274,-4.31425708153443,-4.67189150476249,-3.63567539160616,-3.90617797764348,-4.65258317193715,-4.82252890250106,-2.86017409670149,-2.78528898070402,-3.03725205011443,-2.98489310760979,-2.29061766464373,-5.75042785397277,-3.76284975354843,-2.82661141151035,-2.24596806918735,-3.49094423023417,-1.70109109675441,-3.79172677882247,-3.0685908297891,-4.48654649741728,-3.95845604920826
"X12645_21",2.64706127648312,-3.62175885670973,-7.33722835026261,-4.04935354342722,-3.43487347966297,-2.97885130082196,-2.81555362781776,-7.50527023878315,-7.28742381168352,-5.54417536857633,-4.60183955530116,-3.86514899593531,-2.31822412612394,-3.04390282187682,1.30468851591202,-4.14188817419481,-4.41038899570078,-3.15160481823552,-5.21484214772657,-5.77038859570366,-5.03639989991037,-7.56605403817109,-5.72877084954266,-6.17523765029104,-3.92858566670784,-2.68815751685767,-2.37567562148121,-2.46730753235706,-3.11138280344686,-3.4754914695334,-1.68430086915129,-5.3801251423045,-7.38532317617587,-1.99954105454014,-3.2366589904095,-3.57833205924921,-4.01880726859018,-3.62868974218044,-3.53235592528885,-4.57876116155284,-3.26631637773135,-3.16213952754484,-4.28400561174361,-2.1888916239029,-3.62789861587175,-6.05166211982249,-4.25589822455217,-6.57850747858386,-4.47559487682071,0.466104729768621,-2.77065856508211,-2.99716964369863,-4.03981931811339,-4.83289001416474,-2.79285535236249,-4.78730897985585,-7.00168966840422,-3.09442499664421,-4.39342505818126,-1.86340256418953,-6.22279490286811,-4.23793478056934,-2.09124906236595,-6.35314682549808,-5.64689024986436,-2.58960139552468,-3.52479135113856,-2.48723509359568,-7.20945336562895,-2.62100525064669,-0.980452334450923,-3.86261327001988,-2.28950661719498,-3.48335634019337,-3.71703943812341,-3.52738164333168,-3.95174483139278,-3.25368295342072,-4.57697373354256,-3.82290767451583,-1.97161247063811,-5.9947069952581,-4.13545278418517,-4.63073074632969,-5.09603121114858,-4.12564137839157,-3.85371055774934,-4.99903358595858,-3.91058507916626,-2.6077869350672,-3.08484926256293,-3.13678772366535,-3.43120206854492,-2.91273316378235,-5.61918332069452,-3.29890265378864,-3.16289479937478,-2.87287233298181,-3.85434896109769,-1.02761432857359,-4.10561755464441,-3.29845837168769,-4.87260492972435,-4.35755200461808
"X12650",2.82722870660317,-3.01294961403421,-4.4023233784845,-1.9891489092213,-3.00663648262926,-1.7632422411809,-2.25900680926069,-6.57238443464169,-6.70246131096237,-5.67155467505256,-3.97302276499058,-2.88126866129859,-2.05743341442961,-1.90861145553586,1.97968178217314,-2.87029175485759,-3.5909612413426,-2.81969891215258,-3.95180774189277,-5.44846050081629,-4.14201008787097,-6.98109153744994,-4.97388334737919,-5.6206487986134,-2.99569986256637,-1.40562693539808,-1.76408929413512,-2.16600310959555,-1.145963035157,-3.11531590528907,-1.29501646808554,-3.45674642390742,-5.21539817473356,-2.08265118017795,-2.50472021331812,-2.56117733821014,-3.33377781276511,-2.65245790811339,-3.46626673483108,-4.11163515112554,-2.79424793341613,-2.71588329765527,-2.67207606342218,-1.58780945781847,-2.88805051317242,-6.05166211982249,-3.15952983007993,-5.8008998999203,-4.18608825962572,1.34225702715629,-1.99150053485516,-2.37417401098288,-3.39166299090504,-3.51096191927738,-1.95128471496697,-2.76024073665768,-3.15369276184926,-2.63499337800691,-3.67519602659664,-1.3301976854736,-4.55982989014568,-3.15186383044568,-1.25375659224578,-5.96082940271932,-5.0121747139461,-2.11818142634831,-2.813512400636,-1.09285126553518,-6.91994674843396,-2.05622063186316,-2.48602738014337,-4.43270249425951,-1.8349407537295,-2.80902683676655,-3.0614849695722,-2.87370639252651,-1.68555008466566,-2.13961118671193,-3.36705066416833,-3.4852746789226,-1.2119916708116,-5.11206394589626,-2.74772263090206,-3.51944741279594,-4.29128750254752,-3.68954226358489,-3.41313796636336,-4.57372775122591,-2.95671424989546,-2.22653774924464,-2.84982923289873,-1.88524895666938,-2.77338900241608,-2.03712402601954,-5.21200793918864,-2.46432626299601,-2.16741028049728,-1.48603697521947,-3.00468323418212,-0.310253292346897,-3.35667931881213,-2.72226608059427,-4.79287773725362,-3.11715379522732
"X12672",3.21853895254656,-2.97559619955184,-4.57920114056858,-2.74060083728759,-2.73117343235829,-2.86702269908389,-2.16801865566494,-7.50527023878315,-7.28742381168352,-5.46510379758513,-4.39094277280254,-3.08553906436061,-1.95192229338878,-2.26460768302448,1.75783659362556,-3.50298686636285,-3.56373977260757,-3.17917307824433,-5.37922896562745,-5.65491137828372,-4.30623948364928,-6.41921264984182,-4.82188025393414,-5.78292022751228,-2.69871812480924,-7.62479545586024,-1.80467929992406,-2.08522045487951,-2.11899598755673,-3.12372814510527,-1.40898813353906,-3.73031149723338,-6.68488345803478,-2.71103596119023,-2.87757789710467,-3.03302575887984,-3.43650411431952,-2.75165126465217,-4.44489308403851,-4.33232326624974,-2.85905622904423,-2.61370290284879,-2.67207606342218,-1.56659297190877,-3.02858082217352,-5.31469652565629,-3.40053792958373,-6.21593739919915,-4.29067716090292,1.38146141819698,-2.24588307043605,-2.52545194983066,-4.02909291152033,-4.32593002544486,-2.00041642229785,-3.4223121630766,-3.16374642651319,-2.76115192816284,-4.37034144506822,-1.50835306677462,-4.65801028408459,-3.93026737880715,-1.38738115637598,-5.65270710735699,-5.76553474636298,-1.88220891674182,-3.01730760309512,-1.44445022709888,-6.91994674843396,-1.99373194506757,-0.184424571137427,-3.32064398706704,-4.18641312423088,-2.97778129450093,-2.97497597631752,-2.49548155886539,-2.99803848366671,-3.04966906139913,-3.46016006855981,-3.24033968893506,-1.03889142353913,-5.23981949309463,-3.01997556676524,-3.91570770504416,-4.81484945860453,-3.17968121810446,-4.00571365119439,-4.68537310705482,-3.21870737452859,-2.59008493333374,-2.44900559283959,-2.3164061213115,-2.37760606021718,-2.28248978376033,-5.61918332069452,-3.27505591183427,-2.03773966805249,-2.2336196767597,-3.19138394837526,-1.06527538054907,-3.631686366312,-2.86064956475019,-4.74707404764049,-2.55700761467737
"X12688_41",3.1587517878709,-2.45183385526742,-4.64333147798829,-2.6822366747736,-2.78086933451216,-3.82770977505906,-1.67317495326111,-6.71677434397686,-7.28742381168352,-6.20206939175134,-4.12790836696875,-3.16717753338497,-1.74790840136719,-2.25989298915243,1.90396504470282,-3.23774818960232,-3.48502779659353,-2.95214920817623,-4.62250011663981,-5.8317891403678,-3.99457972421575,-7.20348395878638,-5.30250609484057,-5.88983543142879,-3.42454316137025,-2.7421524064984,-1.60247605553803,-1.80875818550924,-3.11138280344686,-2.81366020542797,-1.96610085133334,-4.48321863526861,-6.29786033492553,-1.8073549220576,-2.97886123294185,-2.55098157110425,-3.46880460622283,-3.59145683598147,-7.94739342456769,-4.23995924810108,-2.40744411486623,-2.4840676224322,-2.87749974608588,-1.46299119369965,-2.75605496736243,-5.24430719776489,-3.40579365503522,-5.9935449778627,-3.86214381913986,1.69773043088311,-2.1459161623756,-2.76547178919245,-3.96635715617236,-3.6378740317596,-1.94806800228343,-3.51882014392994,-3.10444924282942,-2.36793792028227,-4.85576827223846,-1.07727735740401,-3.12827730408382,-4.7257286222835,-1.44957591798332,-5.89371520686079,-5.50250034052918,-1.73619389313637,-4.41585697958539,-1.4656840615381,-6.79441586635011,-1.89958050737626,-0.645942517023191,-3.1331422124006,-2.24133933473447,-2.97778129450093,-3.10259017290187,-2.96210150847222,-2.45551124926595,-1.97250120087667,-3.43631332660544,-2.90031217820144,-1.31576648376045,-5.37999715114289,-3.18436238466612,-3.44576186466293,-4.39981195932568,-3.51266450150081,-3.82312223791592,-4.66888498426625,-4.5006008076137,-2.2541499804525,-2.00392926717936,-2.24988150251098,-2.47496766041335,-1.90647417331067,-5.38785777458806,-2.76284975354843,-2.05437034259661,-1.16948933933999,-2.96357803085245,-0.357307813440332,-3.48112668973662,-2.61629371194117,-4.43721878505371,-3.74640557209327
"X12693_21",3.20639766505075,-3.3768717975862,-5.10276309662559,-2.87216054152086,-3.03449628709025,-3.33896258959721,-2.33396886694191,-6.50527023878315,-7.19996097043318,-4.07921264396581,-4.52383704329989,-3.56909953287355,-2.29487363884656,-2.54809269889244,1.38546917396617,-2.87029175485759,-3.71274972174064,-2.81608765860021,-3.8025817331183,-6.1854260949825,-4.16966643077384,-6.3734089602287,-4.37121884492458,-5.50281230831954,-3.26700188438377,-1.74827850929524,-2.14260091738885,-2.81664178458508,-2.49141385289779,-3.19285250576009,-1.4102112748085,-5.0092874469362,-6.74146698640115,-1.39633943553395,-3.28773317500377,-2.95030083663617,-3.64828843608999,-3.39422448854342,-4.69946591112411,-4.14266204674617,-3.10503547069829,-2.2032968523016,-3.34659014912163,-1.6071747826854,-2.86661334251013,-5.46669961910134,-4.41636289674541,-6.38586240064146,-4.11714090590823,1.85588365317841,-2.34287939691169,-2.6385146143173,-3.97662549162619,-4.12662121722145,-1.88827491744117,-3.11745758154818,-3.26833532779039,-2.90772428245107,-3.70376517879341,-1.10657166419804,-4.90086680798075,-4.86489136995513,-1.56187888760812,-5.89371520686079,-5.37125580725093,-1.26072053999555,-3.45574970670891,-1.7512348357257,-5.91994674843396,-2.25509945869872,-2.8210965747188,-3.44944575809409,-2.11365678179557,-3.042390375924,-3.12782746440089,-3.43647314713347,-2.68871042555898,-2.45680136259263,-3.88592397443171,-3.70577504091783,-1.7716341983466,-5.63715499064002,-3.08814706940682,-3.87483542362863,-4.51716890996384,-3.44491989486498,-3.73506606125072,-4.75327717155662,-3.87078407110829,-2.93640968252857,-2.53736146726043,-2.54801360899417,-2.79541530874608,-2.04054679166033,-5.44230555861044,-3.08685217667365,-2.44042877490369,-2.67068348236855,-3.4058884602814,-0.483951456891266,-3.70568694775577,-2.70913067840514,-5.22351209158348,-3.68543755480185
"X12694_21",2.24681384447377,-3.90806304186637,-6.29540817456799,-2.28478348786641,-4.0224904338301,-4.06308783798999,-3.0893717093648,-8.96470185742045,-7.96549571679616,-6.5239974866387,-5.26926421621429,-3.7645450549969,-3.0972736789614,-3.51401170364933,1.04945748143037,-4.47675532478967,-3.58410757030154,-3.57120059947667,-5.40431994659028,-6.10742358298123,-4.70432384964693,-8.56605403817109,-5.87078985441509,-6.92731013684745,-4.58066236328753,-3.75443073627683,-2.44982251346118,-3.07100659565981,-2.67561386258393,-3.77339633521424,-1.63056570309395,-5.65314363671092,-8.21539817473356,-3.01059624304914,-3.63093792952154,-3.78584530424689,-4.10926221953569,-3.58229683669599,-3.90299930520924,-5.57876116155284,-3.20556234665225,-3.27949647818299,-4.27045907990566,-2.47875850955796,-3.9230266514154,-6.82926969848605,-4.20920498910412,-6.92643078200416,-4.91969484170201,0.842120340218281,-3.22660400794116,-3.01741832754243,-4.22326545920932,-4.95153451066336,-3.27482385976032,-3.65179400919937,-4.11416439766263,-3.6419127919467,-4.88818974993084,-2.25447035931036,-6.0528699014258,-4.97884755925221,-2.50133734567306,-6.54579190344048,-6.13993026114447,-2.40044530366216,-4.70536359678038,-2.41661601890216,-9.37937836707126,-2.66017584792736,-1.57267286349185,-5.24561694165901,-3.16992500144231,-4.08712869068929,-4.28929088709501,-3.68199358927949,-3.31214707409478,-3.68709898201442,-4.8022660453848,-4.39714376864393,-1.45513771638755,-6.47114503920109,-4.1116060422308,-4.48828648130948,-5.84522310764805,-4.4057492975843,-5.02879726430743,-5.45589126093205,-4.64419166124255,-2.68554209258165,-3.82181485672913,-2.86140221471502,-3.4369613378336,-2.50555778227648,-7.44230555861044,-3.74636163075986,-3.54230838892291,-2.64320274594644,-4.27944012504046,-0.713852118890893,-4.9005031247398,-3.37245895313147,-6.01010845347429,-4.6365279543209
"X12700_21",2.79711346355801,-3.29983076182237,-6.66980368934948,-3.06584166621578,-3.22771557202168,-4.5466896237519,-2.64562862637545,-7.79477685597813,-7.48006888962592,-5.7870318924725,-4.44983646185611,-3.62908163770178,-2.42643334307984,-1.84544398469753,1.49132161905681,-3.95828823585542,-4.51079089265862,-2.41009529892437,-5.14974711950468,-6.35535109642481,-4.4915945256612,-7.6729692420876,-5.68437673018421,-6.42035014812757,-3.38801728534513,-3.33939323699799,-1.52028500218532,-2.73220468220805,-3.2718474756401,-3.45411781874083,-1.19465254653036,-4.82871520129437,-7.29786033492553,-2.0480709484678,-3.70710961000695,-2.98191044315299,-3.30433403487262,-3.44313408902437,-3.91764608117364,-4.55074678538324,-2.93922657772821,-2.9565906163718,-3.97850306476936,-1.86761207703315,-3.04293611515059,-5.31469652565629,-4.04439411935845,-7.21593739919915,-4.1760345949618,0.558055808091544,-2.57510775596431,-2.96731971595206,-4.05062607306997,-3.51096191927738,-2.32401140938785,-6.43938567643554,-4.23615492204124,-2.44753474677985,-4.28153217811036,-2.04998813583168,-5.94977640846169,-4.90188557743733,-1.92739625104316,-5.76818432477693,-5.43538614467065,-1.57228191932465,-3.83966468849197,-1.63709530504128,-7.37937836707126,-2.21566114757169,-0.0588936890535686,-4.01212681143924,-2.8284567201593,-1.92860845251923,-3.18849024630752,-3.17527539977929,-3.32192809488736,-2.96127394545341,-3.9862288802274,-3.22603185225118,-1.46362774953677,-5.568442240556,-2.61607862509159,-3.99232898664707,-5.05996195644106,-3.5983943755267,-4.52356195605701,-3.14532302820923,-4.48549391522349,-2.870821340901,-2.92730798557645,-2.68361509549973,-2.93514007241269,-2.28248978376033,-4.85734305788928,-3.25159693901028,-1.47359563883889,-2.78016195916704,-3.25443611891056,-0.884489386474995,-3.78368945975705,-2.80835505730798,-4.44939349899981,-4.20713516206499
"X12707_31",2.89113409741903,-3.03199536972476,-5.08484118862833,-2.14684138832927,-3.13431903556817,-1.85709358184016,-2.50286373978574,-7.26426213927935,-7.70246131096237,-5.99348276993992,-4.15705471262827,-3.47435904290314,-2.64099319745068,-2.61575440710703,1.64513093696691,-3.22132264168921,-3.56373977260757,-2.90152313510627,-5.5933537709803,-5.8317891403678,-4.25596627716806,-7.3734089602287,-5.20520889348565,-6.26834705468252,-3.42454316137025,-2.43497089698022,-1.9296999450297,-2.2356372974326,-1.90316128224245,-3.03378601979247,-1.0637746098404,-4.53766641929098,-6.6304356740124,-1.76617751538269,-3.00533344430304,-2.85942643662799,-3.47425903631494,-4.10471787134843,-5.00879396923184,-3.92026962540972,-2.82058208122959,-2.83301593125327,-2.83201697629187,-1.69423151695462,-2.91860798014839,-6.46669961910134,-3.83848982081057,-5.86230044458445,-3.96225530393006,0.996797567961656,-1.93043900911888,-2.60365585710565,-3.7135910857924,-3.93107040810365,-2.03412578390463,-3.00515461192338,-3.42879999998363,-2.6246760870214,-4.41688403100525,-1.81182839863691,-5.63783240214696,-3.32318206718786,-1.75256244921722,-6.44625622988956,-5.34022891163031,-2.0494686762643,-3.68942205291136,-1.51402007468373,-6.79441586635011,-2.42086563615737,-1.44004850342098,-3.93937046900392,-2.42968427524325,-3.44645675738184,-3.48193596503741,-3.18912537854032,-2.49923262669527,-2.74689206685668,-2.64823241671238,-3.60359464611136,-1.4371113047577,-5.37999715114289,-3.3699180378222,-3.5384722384777,-4.90795886299601,-4.19073640661345,-3.33194188351538,-4.86153006220864,-2.78043756901203,-2.52137218324973,-2.79433412030703,-2.48471102708565,-2.90289973541248,-2.54390409392596,-5.09835115739308,-3.20579324939716,-2.50182931956784,-2.64865717603855,-3.28449335276674,-0.275154667544931,-3.48763999669529,-2.95569677338317,-6.33203654836165,-3.19292130284528
