"","CodeClass","Name","Accession"
"ALOX12","Endogenous","ALOX12","NM_000697.2"
"MAPK9","Endogenous","MAPK9","NM_001135044.1"
"IL17RD","Endogenous","IL17RD","NM_017563.5"
"ITGAM","Endogenous","ITGAM","NM_000632.3"
"IFNGR2","Endogenous","IFNGR2","NM_005534.3"
"CXCL14","Endogenous","CXCL14","NM_004887.4"
"TNFRSF25","Endogenous","TNFRSF25","NM_001039664.1"
"ELANE","Endogenous","ELANE","NM_001972.2"
"LTF","Endogenous","LTF","NM_002343.2"
"PIK3R4","Endogenous","PIK3R4","NM_014602.1"
"ACE","Endogenous","ACE","NM_000789.2"
"PRKCSH","Endogenous","PRKCSH","NM_002743.2"
"CD81","Endogenous","CD81","NM_004356.3"
"CASP1","Endogenous","CASP1","NM_033294.3"
"MYC","Endogenous","MYC","NM_002467.3"
"TPSAB1/B2","Endogenous","TPSAB1/B2","NM_003294.3"
"TLR9","Endogenous","TLR9","NM_017442.2"
"CTSA","Endogenous","CTSA","NM_001127695.1"
"FURIN","Endogenous","FURIN","NM_002569.3"
"IL17RB","Endogenous","IL17RB","NM_018725.3"
"IL4","Endogenous","IL4","NM_172348.1"
"CTLA4","Endogenous","CTLA4","NM_005214.3"
"BCL2L1","Endogenous","BCL2L1","NM_001191.3"
"APBB1IP","Endogenous","APBB1IP","NM_019043.3"
"CD80","Endogenous","CD80","NM_005191.3"
"AKT3","Endogenous","AKT3","NM_005465.4"
"PTGER2","Endogenous","PTGER2","NM_000956.3"
"CDK4","Endogenous","CDK4","NM_000075.3"
"FOS","Endogenous","FOS","NM_005252.3"
"PXN","Endogenous","PXN","NM_001080855.3"
"ZAP70","Endogenous","ZAP70","NM_001079.3"
"APOL6","Endogenous","APOL6","NM_030641.3"
"CCL22","Endogenous","CCL22","NM_002990.4"
"TNFRSF10B","Endogenous","TNFRSF10B","NM_003842.3"
"GNS","Endogenous","GNS","NM_002076.3"
"RACK1","Endogenous","RACK1","NM_006098.4"
"CXCL3","Endogenous","CXCL3","NM_002090.2"
"HSP90AB1","Endogenous","HSP90AB1","NM_007355.3"
"GLA","Endogenous","GLA","NM_000169.2"
"ALPK1","Endogenous","ALPK1","NM_025144.2"
"GK","Endogenous","GK","NM_000167.3"
"IL23A","Endogenous","IL23A","NM_016584.2"
"IL9","Endogenous","IL9","NM_000590.1"
"CCL2","Endogenous","CCL2","NM_002982.3"
"KDM6B","Endogenous","KDM6B","NM_001080424.1"
"TNFRSF9","Endogenous","TNFRSF9","NM_001561.5"
"CCR3","Endogenous","CCR3","NM_001837.2"
"ITGB7","Endogenous","ITGB7","NM_000889.1"
"RAF1","Endogenous","RAF1","NM_002880.3"
"NFATC3","Endogenous","NFATC3","NM_004555.2"
"RBCK1","Endogenous","RBCK1","NM_006462.4"
"NCF1","Endogenous","NCF1","NM_000265.4"
"NLRP1","Endogenous","NLRP1","NM_033004.2"
"CCR4","Endogenous","CCR4","NM_005508.4"
"FYN","Endogenous","FYN","NM_002037.3"
"MARCO","Endogenous","MARCO","NM_006770.3"
"RNF114","Endogenous","RNF114","NM_018683.4"
"ATG7","Endogenous","ATG7","NM_001136031.2"
