"gene","CCD/HD log2 fold-change","CCD/HD p-value","CCD/HD FDR","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR","time log2 fold-change","time p-value","time FDR","moderate/mild log2 fold change","moderate/mild p-value","moderate/mild fdr","severe/mild log2 fold change","severe/mild p-value","severe/mild fdr","MILD/healthy log2 fold change","MILD/healthy p-value","MILD/healthy FDR","MODERATE/healthy log2 fold change","MODERATE/healthy p-value","MODERATE/healthy FDR","SEVERE/healthy log2 fold change","SEVERE/healthy p-value","SEVERE/healthy FDR","sex M/F log2 fold-change","sex p-value","sex FDR","Age log2 fold change per year","Age p-value","Age FDR","Race p-value","Race FDR","neutralizing ab > 0 log2 fold-change","neutralizing ab > 0 p-value","neutralizing ab > 0 FDR","ortho ab > 12 log2 fold-change","ortho ab > 12 p-value","ortho ab > 12 FDR","TCR log2 fold-change","TCR p-value","TCR FDR"
"ALOX12",0.157151408908049,0.163397672701372,0.276109184383194,0.151509796319247,0.238394982028102,0.383335095281946,0.236942683574854,0.109212761551538,0.233854472795953,0.146256983054737,0.271305224987608,0.39126667708101,0.0626607194799975,0.65585807429516,0.819830750161119,-0.000297391209812178,0.703498005666582,0.823945391485254,0.198282933946571,0.335034806681669,0.996217677044312,0.0771309349114344,0.833086664857894,0.999207297401817,0.141836494795484,0.188306273462439,0.302593022223859,0.161115294241512,0.155324300086524,0.269810525768277,0.171780526660434,0.127413109150412,0.229047286914578,0.00710516539311181,0.92174415285442,0.956386886116063,0.00209278830394973,0.394076125811492,0.672364408032185,0.208759224347086,0.280157778507461,0.22814179778288,0.00711538787040618,0.318041062576845,0.0623456894503176,0.505106638990999,0.998800064188085,1.01660260621814,0.0172262402035137,0.0649555301332494
"MAPK9",-0.0583750916075001,0.0772979943497921,0.160191285877719,-0.0236836349901182,0.491056355316997,0.642278447817324,-0.042519703901338,0.223687711528315,0.38682461076373,-0.120279754959162,0.000864413057830058,0.00433890450456257,-0.0580885018547385,0.113755295906422,0.308536293809348,-0.000322290425621264,0.166196504714403,0.329409995241624,-0.0800441137217443,0.208208014596142,0.996217677044312,-0.00618682753904953,0.956353812861601,0.999207297401817,-0.0570449913055494,0.0632068942896575,0.141210778282963,-0.0568301764010509,0.0792276565296823,0.162448218826113,-0.0581659948167921,0.0757477144285823,0.156036469429576,-0.0134824488046772,0.498073903782866,0.634285218491195,6.89260595427645e-05,0.918819460798451,0.968686040030517,0.594460533032833,0.651798570261532,0.0324031264221641,0.25182831188366,0.773870681298076,-0.0308520178241876,0.258438449884911,0.998800064188085,-0.0339931608492252,0.790141155197601,0.88776033861591
"IL17RD",-0.363180744885992,0.000171797234305854,0.00145933255075192,-0.362281934590237,0.000392523560506781,0.00497411003724167,-0.256748866105082,0.0117779097195997,0.0545169114565903,-0.294764298837211,0.0192637762584201,0.0496363301591957,-0.321274302586903,0.00575819637678801,0.051756811619269,0.00022437457926864,0.784295135863028,0.877366338671665,0.318854580372344,0.0751567443739741,0.968269390018033,-0.578520727495183,0.0700686395463321,0.999207297401817,-0.324025094393759,0.00093465056905031,0.00543221721711195,-0.351559183610307,0.000222398728321454,0.00193162041564588,-0.364744704049421,0.000160633998431466,0.00134967479116873,-0.00103955361380445,0.987112644054303,0.994834516106879,0.00180137116839117,0.409725224275786,0.685658170571627,0.306223340809703,0.384270523451137,0.0712238601993376,0.427113606968222,0.821643482662486,-0.0165923177177278,0.836541238616272,0.99915309616834,1.17911128157948,0.00734816861513243,0.0332171598801016
"ITGAM",-0.196030527918643,0.00166500828063658,0.00799410808032345,-0.188264718057774,0.00647951831241002,0.0319668401371758,-0.172388623429479,0.0197579222558325,0.0769558235056528,-0.169518330700249,0.0141798757068775,0.0394282155446629,-0.124807614162573,0.0808036010938284,0.256040152281748,0.00102024789006786,0.0344569200046268,0.101274521534511,-0.0543778373132583,0.639270836373955,0.996217677044312,0.312116471347355,0.132429163938937,0.999207297401817,-0.178900367803247,0.0022647906123636,0.0103590718541838,-0.189438627637195,0.00205746685022727,0.00998603760751216,-0.185470392984492,0.00289835829068624,0.0125319627262607,-0.0278235936080216,0.472623330151628,0.607883251592693,0.00183810630660452,0.162012240637283,0.434845354210485,0.0562605708280041,0.102569389740677,0.0528120442742478,0.319609973261414,0.78460488536483,0.0665823305799593,0.17337334262923,0.998800064188085,0.107630595542873,0.682484072477173,0.821189066775368
"IFNGR2",-0.249850795316211,0.00391640244655791,0.0158173446428636,-0.1993878955864,0.0245476040749398,0.0800645483119346,-0.23574716560997,0.0116394041730398,0.0542087005420687,-0.316560609871321,0.00244772009784812,0.0098035628789461,0.0222541857316554,0.801601916743042,0.909894686699517,0.00211218242254102,0.00351466938346162,0.0213924364835893,-0.179241194136122,0.283447104973542,0.996217677044312,-0.0548784863227272,0.85352058951023,0.999207297401817,-0.205145418336415,0.0135374521922669,0.0416419573547443,-0.253608386127401,0.00423712788740428,0.0176091390159328,-0.254628945260438,0.00296384320127614,0.0126577391966103,-0.215919439231174,0.000119137861593656,0.00122791422682528,-0.000488087467533339,0.800291104841603,0.923811407945357,0.0235336656396895,0.0563996109419959,-0.00685740829601124,0.933127131668465,0.980470826672389,-0.0469578911856744,0.508956971630253,0.998800064188085,0.460769415188451,0.235874284569166,0.450199560424606
"CXCL14",-0.184156005917254,0.0528274210523939,0.11932554382346,-0.161585143367615,0.102222768687105,0.215896721844623,-0.0980864330550132,0.391128757871464,0.552728573737919,-0.101346826635978,0.379773849347492,0.495887137745966,-0.186435237196432,0.0834627813927591,0.256040152281748,-0.000203500270371749,0.782399795843218,0.877366338671665,0.174124417687554,0.316156519382781,0.996217677044312,-0.308637583104286,0.318736870838892,0.999207297401817,-0.158838953080372,0.0744751107351471,0.155592596211537,-0.173234922002506,0.0670521595752298,0.144376934127166,-0.184648050382013,0.0524219460835659,0.118140420765587,0.0217576783367467,0.710833591027243,0.810434167941089,-0.000835839210834118,0.675032764243993,0.869667211267678,0.117901333719882,0.178701433265624,-0.0563832141699267,0.505683925340346,0.839197486749761,0.0406001857909006,0.559096632258386,0.998800064188085,0.414953000131725,0.295446938868652,0.521568726427499
"TNFRSF25",0.168590806586723,0.00775699029690781,0.0272552431795897,0.134948852415348,0.0801244828722217,0.184334003750677,0.164924666892114,0.0338227992018437,0.114170409532861,0.249552713855893,0.00363833453471543,0.0133535647048568,0.210594854196318,0.00399562296301404,0.0406396914527612,0.000166410388833245,0.731049281630531,0.838428923887834,0.0210883022742802,0.849407157180427,0.996217677044312,0.0666868155863242,0.736194268573892,0.999207297401817,0.187044192490871,0.00175340202201101,0.00872324068821593,0.165559325945471,0.00973535126936552,0.0331516587278394,0.171019900313109,0.00661675092174769,0.0233128145189093,-0.0837018885474793,0.0421263615689561,0.0995831115987862,-0.00449546781959508,0.00123970600098464,0.0142398579574017,0.00377415294100296,0.0151948969968504,0.0693787089860197,0.192152105238172,0.740568209357258,0.062880193980157,0.201434078758815,0.998800064188085,-0.355387010914795,0.166461931377225,0.360434378024076
"ELANE",-0.138174257226752,0.14780231628773,0.25432961220681,-0.14103438487556,0.228776388244857,0.372303469712157,-0.215008507273363,0.0469170223207214,0.140026479744856,-0.0397907136934857,0.719327238964863,0.793209637260826,-0.0811386045625807,0.466916152405488,0.68879043093405,0.000908731224794078,0.249586978779722,0.4287349657705,0.271468395870899,0.121210037020327,0.996217677044312,0.463467748285961,0.137494372894696,0.999207297401817,-0.113398701025751,0.220248372267204,0.33968902265694,-0.112191649167236,0.237861780151873,0.369490668172982,-0.130028137886647,0.171779149110291,0.285113474238855,0.0384731925571077,0.527831397467091,0.659149709599453,0.00377378573024288,0.0676596381830007,0.2668413281401,0.387918964656482,0.463464234435024,-0.0977723793934501,0.259962976161313,0.776388552435386,0.16490153015224,0.0280356574099204,0.998800064188085,0.438183618267565,0.297149731830871,0.521568726427499
"LTF",-0.295345454394423,0.139145446169945,0.24622008235442,-0.416876421005621,0.0467130172268777,0.124945198326562,-0.278632178622933,0.251192159226506,0.409894726158173,-0.204131846130214,0.421177723755601,0.543523172726343,0.112826344821698,0.606946017192166,0.788519783679907,0.00180983370466955,0.113376886106575,0.248978218637451,0.0984067464408243,0.786266428249545,0.996217677044312,1.20886116862305,0.063060096197699,0.999207297401817,-0.267578112695467,0.147258947540304,0.254808999516466,-0.246176136332071,0.212988867779568,0.340870382595457,-0.257890843229299,0.198754034812777,0.316125244671351,0.389111564059775,0.00174703312988774,0.00894342125432598,0.013619147279788,0.00125266538305733,0.0142398579574017,0.216383290984333,0.287890333788106,-0.0846488854259921,0.469481653289253,0.833824972863203,0.217742688894101,0.152966991414658,0.998800064188085,0.163724789621437,0.799202679256552,0.896638129267511
"PIK3R4",0.106609798787609,0.0228275070466244,0.0616981221924497,0.108871504643682,0.0337292510777223,0.101057019701858,0.0652878385951031,0.265113563969713,0.424101940197402,0.128265189549558,0.0282120203339219,0.0687946110981756,0.246652656285233,9.1855823398736e-06,0.00118340919145372,0.00154231011361366,2.92748557653818e-05,0.000780326327815177,-0.0721853270900348,0.389862080395732,0.996217677044312,-0.11975682658619,0.423335716142171,0.999207297401817,0.143396299344077,0.00157774303937927,0.00826330811933641,0.103888814546193,0.0238343609994435,0.0639720869880896,0.0945107032820646,0.0475816449203629,0.108818377288286,-0.122398471590247,7.50576428565778e-05,0.000853228793060803,-0.001582896309403,0.135998902012349,0.396706231153004,0.0765512727184657,0.129483881425326,-0.0423177995250077,0.305266293412841,0.778932717908696,-0.0799740007876293,0.0268810920137922,0.998800064188085,-0.110031721978438,0.5763992715628,0.760335557880622
