"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"ALOX12",0.151509796319247,0.238394982028102,0.383335095281946,0.236942683574854,0.109212761551538,0.233854472795953,0.146256983054737,0.271305224987608,0.39126667708101,0.0626607194799975,0.65585807429516,0.819830750161119
"MAPK9",-0.0236836349901182,0.491056355316997,0.642278447817324,-0.042519703901338,0.223687711528315,0.38682461076373,-0.120279754959162,0.000864413057830058,0.00433890450456257,-0.0580885018547385,0.113755295906422,0.308536293809348
"IL17RD",-0.362281934590237,0.000392523560506781,0.00497411003724167,-0.256748866105082,0.0117779097195997,0.0545169114565903,-0.294764298837211,0.0192637762584201,0.0496363301591957,-0.321274302586903,0.00575819637678801,0.051756811619269
"ITGAM",-0.188264718057774,0.00647951831241002,0.0319668401371758,-0.172388623429479,0.0197579222558325,0.0769558235056528,-0.169518330700249,0.0141798757068775,0.0394282155446629,-0.124807614162573,0.0808036010938284,0.256040152281748
"IFNGR2",-0.1993878955864,0.0245476040749398,0.0800645483119346,-0.23574716560997,0.0116394041730398,0.0542087005420687,-0.316560609871321,0.00244772009784812,0.0098035628789461,0.0222541857316554,0.801601916743042,0.909894686699517
"CXCL14",-0.161585143367615,0.102222768687105,0.215896721844623,-0.0980864330550132,0.391128757871464,0.552728573737919,-0.101346826635978,0.379773849347492,0.495887137745966,-0.186435237196432,0.0834627813927591,0.256040152281748
"TNFRSF25",0.134948852415348,0.0801244828722217,0.184334003750677,0.164924666892114,0.0338227992018437,0.114170409532861,0.249552713855893,0.00363833453471543,0.0133535647048568,0.210594854196318,0.00399562296301404,0.0406396914527612
"ELANE",-0.14103438487556,0.228776388244857,0.372303469712157,-0.215008507273363,0.0469170223207214,0.140026479744856,-0.0397907136934857,0.719327238964863,0.793209637260826,-0.0811386045625807,0.466916152405488,0.68879043093405
"LTF",-0.416876421005621,0.0467130172268777,0.124945198326562,-0.278632178622933,0.251192159226506,0.409894726158173,-0.204131846130214,0.421177723755601,0.543523172726343,0.112826344821698,0.606946017192166,0.788519783679907
"PIK3R4",0.108871504643682,0.0337292510777223,0.101057019701858,0.0652878385951031,0.265113563969713,0.424101940197402,0.128265189549558,0.0282120203339219,0.0687946110981756,0.246652656285233,9.1855823398736e-06,0.00118340919145372
"ACE",-0.0787616176035313,0.366397974159986,0.516909622046834,0.0811673216439473,0.35783605550119,0.515097338738212,-0.0130703665922362,0.875837237918832,0.915463114781831,0.110524231428979,0.219233749141689,0.45761952244312
"PRKCSH",-0.0438616070690709,0.177862857698883,0.316792601385338,0.0107541748559505,0.738450045805555,0.813136588899849,-0.0357172754260853,0.31733306288429,0.43647412386042,-0.0083012776748152,0.825330420712161,0.919897690321489
"CD81",-0.0202729737680829,0.745257865659919,0.849681902883654,-0.0346207129520935,0.580201220979433,0.710176659595118,-0.118395104006635,0.056138306278094,0.117920953133062,0.00713627455375128,0.911784256030053,0.964790325682479
"CASP1",-0.212373049525032,0.0055249275331862,0.0280971643628483,-0.287591035722907,0.000137058932149535,0.00220721988649146,-0.280763169940592,0.000134745920716095,0.00104158596713542,-0.0702434454117212,0.233869174807399,0.471305429931463
"MYC",-0.284401786481745,0.00308015290564534,0.0195194857889238,-0.251001598590118,0.00997702660038768,0.0485046639125766,-0.225430876408156,0.0198905450377298,0.0510810342663292,0.0577777874044967,0.489072234565474,0.708144967305891
"TPSAB1.B2",-0.288080452178124,0.0455029883211963,0.123851443564383,-0.18250156653946,0.249979749510668,0.409894726158173,-0.337792194330062,0.0153202811433286,0.0421984591256291,-0.27437366290329,0.0995645388098099,0.282441021220803
"TLR9",-0.00357269681346226,0.959711866826472,0.977414061998502,-0.0361517510233955,0.655767922485308,0.764240469180686,0.00322791569918765,0.967696465424597,0.977816167023808,0.0977350905454218,0.201118948051251,0.430650822281488
"CTSA",-0.0155892438103069,0.762268402857734,0.862713726806777,0.0424751867738923,0.425175826823635,0.579648878544391,-0.06494180888926,0.222769390761148,0.340991562491817,0.0122613594676764,0.789258141838504,0.902918324145219
"FURIN",0.0320275775652619,0.597318820934087,0.738763917731279,0.0497317713696978,0.415711970694241,0.573274330222976,0.00745905279379731,0.906097475695555,0.939823790977815,-0.046034261023777,0.424924816196728,0.65109824495943
