"","log2.fold.change.P1...CCD","p.value","BH.FDR"
"TRBC1.2_ENST00000466254.1",-0.827925789634589,0.00279444380562241,0.0126357459036839
"TRAV25_TCRVA_033.1",-1.19009244313429,7.85193066920987e-05,0.00141686933534239
"TRBV11.1_TCRVB_029.1",-0.366317786502785,0.292846488938921,0.342202638760088
"TRGV2_ENST00000426402.1",-0.754327414305631,0.0397717005609332,0.0626705584596522
"TRAV2_TCRVA_003.1",-0.538722084214526,0.0780436004230815,0.104010104955629
"TRAV1.2_TCRVA_002.1",-1.02327171217559,0.00389467717797876,0.0149821209243442
"TRBV6.5_TCRVB_014.1",-0.838380871077147,0.00316778447442976,0.012671137897719
"TRAV9.1_TCRVA_014.1",1.26341643296229,0.000136941890299358,0.0014397566618464
"TRBV6.8_TCRVB_016.1",1.14249831882649,0.000258989486138079,0.00224457554653002
"TRBV11.3_TCRVB_031.1",0.301712781493603,0.336239107775704,0.384273266029376
"TRAV39_TCRVA_044.1",-0.642892172391369,0.0271100972209823,0.0477872900166467
"TRAV41_TCRVA_046.1",-0.742969881312202,0.0110755918465158,0.0267874779543639
"TRBV11.2_TCRVB_030.1",-0.783484274320499,0.00957181072501075,0.024886707885028
"TRBV7.8_TCRVB_023.1",-0.346985541191378,0.206202096733133,0.243693387048248
"TRAC_ENST00000611116.1",-1.46131526486552,9.1467729515522e-07,4.81889038689937e-05
"TRAV4_TCRVA_005.1",-0.750206421453726,0.0219854250979029,0.0415724401851255
"TRAV20_TCRVA_028.1",-0.687300873961748,0.0137069138959057,0.0309899505517169
"TRAV26.1_TCRVA_034.1",-0.819676568660656,0.00818967265622629,0.0228484704860909
"TRBV12.5_TCRVB_034.1",-0.264846967449109,0.402453924849298,0.445393041418655
"TRAV40_TCRVA_045.1",-0.0737380142679903,0.81343224050153,0.82938189227607
"TRBV25.1_TCRVB_043.1",-0.0281868522698443,0.92141116105046,0.930356900478134
"TRAV7_TCRVA_008.1",0.994852527174721,0.000583000347540424,0.00356659036142377
"TRGV9_ENST00000444775.1",1.22763191084753,0.000100587517264069,0.00141686933534239
"TRAV18_TCRVA_026.1",0.653878871376994,0.0203252920319783,0.0398835919118064
"TRBV5.6_TCRVB_009.1",-0.693449701457741,0.0217848185978385,0.0415724401851255
"TRBV4.3_TCRVB_005.1",-0.925385042724421,0.057466161156389,0.0796864101368594
"TRAV13.1_TCRVA_021.1",-1.1493098978314,0.000108989948872492,0.00141686933534239
"TRAV17_TCRVA_025.1",-1.0624735595937,0.000369786819307497,0.00274698780056998
"TRGC1_ENST00000443402.1",-0.489317063009427,0.163547520764015,0.199460604964588
"TRAV3_TCRVA_004.1",-1.11469961558735,0.000497729803807792,0.00323524372475065
"TRBV29.1_TCRVB_046.1",-0.841677837103975,0.00834847960068706,0.0228484704860909
"TRAV1.1_TCRVA_001.1",-0.693165146095768,0.0279199617163955,0.048301799636995
"TRBV16_TCRVB_038.1",0.165433454560264,0.588012974332332,0.630446900315078
"TRBV7.2_TCRVB_018.1",-0.603525735395441,0.0446653573993529,0.0673216981091697
"TRAV19_TCRVA_027.1",-1.1563186349759,0.000138438140562154,0.0014397566618464
