ProbeID,Codeset.Name,Probe.Label,Analyte.Type,Is.Control,Control.Type,Related.Probes,Probe.Annotation,KEGG.Pathways,Cell.Type,Official.Gene.Name,Fusion.Probe.Type,Fusion.Base,SNV.Probe.Type,SNV.LocID,SNV.annot
NM_000640.2:400,NS_Hs_HostResponse_v1.0,IL13RA2,mRNA,0,,,Other Interleukin Signaling;Myeloid Activation;JAK-STAT Signaling,hsa04630,,IL13RA2,,,,,
NM_000963.1:495,NS_Hs_HostResponse_v1.0,PTGS2,mRNA,0,,,TNF Signaling;Other Interleukin Signaling;NF-kappaB Signaling;Leukotriene and Prostaglandin Inflammation,hsa00590;hsa04064;hsa04370;hsa04668;hsa04723;hsa04726;hsa04921;hsa04923;hsa05140;hsa05200;hsa05206;hsa05222,,PTGS2,,,,,
NM_001560.2:1230,NS_Hs_HostResponse_v1.0,IL13RA1,mRNA,0,,,Other Interleukin Signaling;JAK-STAT Signaling,hsa04060;hsa04630,,IL13RA1,,,,,
NM_002198.1:510,NS_Hs_HostResponse_v1.0,IRF1,mRNA,0,,,Type II Interferon Signaling;Type I Interferon Signaling;TNF Signaling,hsa04917;hsa05133;hsa05160,,IRF1,,,,,
NM_002467.3:1610,NS_Hs_HostResponse_v1.0,MYC,mRNA,0,,,TGF-beta Signaling;Other Interleukin Signaling,hsa04010;hsa04012;hsa04110;hsa04151;hsa04310;hsa04350;hsa04390;hsa04550;hsa04630;hsa04919;hsa05161;hsa05166;hsa05169;hsa05200;hsa05202;hsa05205;hsa05206;hsa05210;hsa05213;hsa05216;hsa05219;hsa05220;hsa05221;hsa05222;hsa05230,,MYC,,,,,
NM_003153.3:2030,NS_Hs_HostResponse_v1.0,STAT6,mRNA,0,,,TH9 Differentiation;TH2 Differentiation;Other Interleukin Signaling;DNA Sensing,hsa04630;hsa05161;hsa05321,,STAT6,,,,,
NM_003246.2:3465,NS_Hs_HostResponse_v1.0,THBS1,mRNA,0,,,TGF-beta Signaling;NO Signaling;Myeloid Activation;Mononuclear Cell Migration;Coagulation,hsa04015;hsa04115;hsa04145;hsa04151;hsa04350;hsa04510;hsa04512;hsa05144;hsa05205;hsa05206;hsa05219,,THBS1,,,,,
NM_004120.3:780,NS_Hs_HostResponse_v1.0,GBP2,mRNA,0,,,Type II Interferon Signaling;Type I Interferon Signaling;NLR Signaling,,,GBP2,,,,,
NM_004360.2:535,NS_Hs_HostResponse_v1.0,CDH1,mRNA,0,,,Tissue Stress;Lymphocyte Trafficking;Apoptosis,hsa04015;hsa04390;hsa04514;hsa04520;hsa05100;hsa05130;hsa05200;hsa05213;hsa05216;hsa05218;hsa05219,,CDH1,,,,,
NM_005532.3:390,NS_Hs_HostResponse_v1.0,IFI27,mRNA,0,,,Type I Interferon Signaling;MAPK Signaling,,,IFI27,,,,,
NM_006218.2:2445,NS_Hs_HostResponse_v1.0,PIK3CA,mRNA,0,,,TNF Signaling;TCR Signaling;BCR Signaling,hsa00562;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05206;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231,,PIK3CA,,,,,
NM_012340.3:1815,NS_Hs_HostResponse_v1.0,NFATC2,mRNA,0,,,TCR Signaling;NK Activity;Glycan Sensing;BCR Signaling,hsa04022;hsa04310;hsa04360;hsa04370;hsa04380;hsa04650;hsa04660;hsa04662;hsa04921;hsa05161;hsa05166,,NFATC2,,,,,
NM_199072.2:730,NS_Hs_HostResponse_v1.0,MDFIC,mRNA,0,,,Immune Exhaustion,,,MDFIC,,,,,
NM_001911.2:160,NS_Hs_HostResponse_v1.0,CTSG,mRNA,0,,,Myeloid Activation;Lysosome;IL-1 Signaling;Host Defense Peptides;Angiotensin System,hsa04080;hsa04142;hsa04614;hsa05146;hsa05322,,CTSG,,,,,
NM_002115.1:495,NS_Hs_HostResponse_v1.0,HK3,mRNA,0,,,Myeloid Activation;HIF1A Signaling,hsa04066;hsa04910;hsa04930;hsa04973;hsa05230,,HK3,,,,,
NM_001972.2:195,NS_Hs_HostResponse_v1.0,ELANE,mRNA,0,,,Myeloid Activation;Host Defense Peptides;Complement System,hsa05202;hsa05322,,ELANE,,,,,
NM_181755.1:155,NS_Hs_HostResponse_v1.0,HSD11B1,mRNA,0,,,,,DC,HSD11B1,,,,,
NM_000021.2:900,NS_Hs_HostResponse_v1.0,PSEN1,mRNA,0,,,Oxidative Stress Response;Myeloid Activation,hsa04310;hsa04330;hsa04722;hsa05010,,PSEN1,,,,,
NM_000572.2:230,NS_Hs_HostResponse_v1.0,IL10,mRNA,0,,,Treg Differentiation;TCR Signaling;Other Interleukin Signaling;Myeloid Activation;JAK-STAT Signaling,hsa04060;hsa04068;hsa04630;hsa04660;hsa04672;hsa05133;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05150;hsa05152;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05330,,IL10,,,,,
NM_000639.1:625,NS_Hs_HostResponse_v1.0,FASLG,mRNA,0,,,Other Interleukin Signaling;NF-kappaB Signaling;Immune Exhaustion;Cytotoxicity;Apoptosis,hsa04010;hsa04014;hsa04060;hsa04068;hsa04151;hsa04210;hsa04650;hsa04722;hsa04932;hsa04940;hsa05142;hsa05143;hsa05161;hsa05162;hsa05164;hsa05168;hsa05200;hsa05205;hsa05320;hsa05330;hsa05332,,FASLG,,,,,
NM_000660.3:1260,NS_Hs_HostResponse_v1.0,TGFB1,mRNA,0,,,Treg Differentiation;TH9 Differentiation;TH17 Differentiation;TGF-beta Signaling;Other Interleukin Signaling;Myeloid Activation;Mononuclear Cell Migration,hsa04010;hsa04060;hsa04068;hsa04110;hsa04144;hsa04350;hsa04380;hsa04390;hsa04672;hsa04932;hsa04933;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05166;hsa05200;hsa05205;hsa05210;hsa05211;hsa05212;hsa05220;hsa05321;hsa05323;hsa05410;hsa05414,,TGFB1,,,,,
NM_001065.2:515,NS_Hs_HostResponse_v1.0,TNFRSF1A,mRNA,0,,,TNF Signaling;Other Interleukin Signaling;NF-kappaB Signaling;Apoptosis,hsa04010;hsa04060;hsa04064;hsa04071;hsa04210;hsa04380;hsa04668;hsa04920;hsa04931;hsa04932;hsa05010;hsa05014;hsa05142;hsa05145;hsa05152;hsa05160;hsa05164;hsa05166;hsa05168,,TNFRSF1A,,,,,
NM_001252.2:190,NS_Hs_HostResponse_v1.0,CD70,mRNA,0,,,T-cell Costimulation;NF-kappaB Signaling,hsa04060,,CD70,,,,,
NM_001433.2:435,NS_Hs_HostResponse_v1.0,ERN1,mRNA,0,,,Proteotoxic Stress;Apoptosis,hsa04141;hsa04932;hsa05010,,ERN1,,,,,
NM_002502.2:825,NS_Hs_HostResponse_v1.0,NFKB2,mRNA,0,,,TLR Signaling;RNA Sensing;NF-kappaB Signaling;Inflammasomes;Glycan Sensing;DNA Sensing,hsa04010;hsa04064;hsa04380;hsa05134;hsa05166;hsa05169;hsa05200;hsa05203,,NFKB2,,,,,
